Posizione,Nome,Sito ufficiale,Descrizione
1,Webuild,https://www.webuildgroup.com,"Primo gruppo italiano delle costruzioni, nato dalla storica Impregilo e rafforzatosi con l'integrazione di Astaldi e altre realtà del Progetto Italia. Webuild è attivo in grandi opere idrauliche, metropolitane, ferrovie ad alta velocità, dighe e autostrade, con una presenza internazionale che spazia da Europa e Medio Oriente ad Australia e Americhe. È il riferimento nazionale per le infrastrutture complesse e punta forte su sostenibilità e innovazione di cantiere."
2,Pizzarotti,https://www.pizzarotti.it,"Gruppo parmense fondato nel 1910, tra i più antichi e rispettati del settore. Pizzarotti opera nell'edilizia civile, sanitaria e commerciale e nelle grandi infrastrutture, con importanti commesse anche all'estero, dal Nord America all'Africa. Il gruppo ha mantenuto una gestione familiare e una reputazione di affidabilità nella consegna delle opere, con focus crescente su ospedali, scuole e progetti in project financing."
3,Ghella,https://www.ghella.com,"Impresa romana con oltre un secolo di storia, specializzata in opere sotterranee e infrastrutture di trasporto. Ghella è tra i principali player europei nello scavo meccanizzato con TBM per metropolitane e ferrovie, con cantieri attivi in Italia, Europa, Oceania e Americhe. La competenza nel sottosuolo e nella meccanizzazione dello scavo costituisce il principale vantaggio competitivo del gruppo, insieme a una solida cultura della sicurezza in galleria."
4,Rizzani de Eccher,https://www.rizzanideeccher.com,"Gruppo friulano con sede a Pozzuolo del Friuli, attivo in grandi opere infrastrutturali, ponti, viadotti, edilizia di pregio e infrastrutture immobiliari tramite partecipate specializzate. Rizzani de Eccher ha realizzato opere iconiche in Italia e all'estero, dagli stadi ai grattacieli, con una reputazione particolare nelle opere in calcestruzzo armato e nelle strutture complesse. Il gruppo unisce ingegneria avanzata e capacità esecutiva."
5,CMB,https://www.cmbcarpi.it,"Cooperativa Muratori e Braccianti di Carpi, tra le maggiori cooperative di produzione e lavoro italiane, attiva dal 1908. CMB opera nell'edilizia residenziale, ospedaliera, industriale e nel restauro monumentale, con una forte presenza in Emilia-Romagna e commesse in tutta Italia. Il modello cooperativo, la verticalizzazione delle competenze e la lunga tradizione nel recupero del patrimonio storico sono i tratti distintivi dell'impresa."
6,ICMQ,,"Impresa Costruzioni Giuseppe Maltauro, con sede in Veneto, attiva da oltre un secolo in opere stradali, ferroviarie, aeroportuali e marittime. ICMQ è specializzata nella costruzione di viadotti, ponti e opere d'arte, con un parco attrezzature tra i più completi del settore. L'impresa partecipa regolarmente a grandi appalti infrastrutturali in Italia e ha sviluppato competenze riconosciute nella gestione di cantieri complessi in ambito ferroviario."
7,Sacaim,https://www.sacaim.it,"Gruppo veneto nato nel 1929, attivo nella costruzione di opere stradali, autostradali, ferroviarie e idrauliche. Sacaim ha consolidato negli anni una posizione di rilievo nel Nord-Est e nei mercati esteri, con particolare specializzazione in ponti e viadotti in calcestruzzo armato precompresso. L'azienda combina tradizione costruttiva e investimenti in tecnologie di cantiere, con un portafoglio che spazia dalle grandi arterie alle opere idrauliche."
8,Todini,https://www.todini.it,"Gruppo umbro con storia ultracentenaria, oggi articolato in divisioni dedicate a costruzioni, concessioni e servizi. Todini Costruzioni Generali è attiva in strade, ferrovie, opere idrauliche ed edilizia civile, con una presenza consolidata in Italia e in Africa. Il gruppo ha saputo diversificare le attività mantenendo il core business delle infrastrutture, partecipando a importanti consorzi per commesse nazionali e internazionali."
9,Bonatti,https://www.bonatti.it,"Impresa parmense specializzata in grandi opere per il settore energetico: pipeline, impianti oil and gas, opere civili per l'energia e progetti per la transizione. Bonatti opera in alcuni dei contesti geografici più complessi del mondo, con una reputazione internazionale per la capacità di lavorare in aree remote e condizioni estreme. La specializzazione impiantistico-infrastrutturale la rende un caso unico tra i grandi costruttori italiani."
10,Salcef Group,https://www.salcef.com,"Gruppo romano quotato, leader italiano nella costruzione e manutenzione di infrastrutture ferroviarie, dalla posa dei binari al rinnovo di tratte e stazioni. Salcef ha costruito un'integrazione verticale che comprende materiali, ingegneria e mezzi propri, e sta espandendo la presenza in Europa, Nord America e Medio Oriente. La specializzazione ferroviaria e l'innovazione nei materiali sostenibili per l'armamento sono i punti di forza distintivi."
