Posizione,Nome,Sito ufficiale,Descrizione
1,EPS (polistirene espanso sinterizzato),,"È il materiale più usato nei sistemi a cappotto in Italia grazie al rapporto qualità-prezzo difficilmente eguagliabile. Conducibilità tipica tra 0,030 e 0,036 W/mK (migliore nelle versioni con grafite), buona lavorabilità e ampia gamma di spessori. Limiti: reazione al fuoco in classe E, ridotta inerzia estiva e natura petrolchimica. Resta la prima scelta per riqualificazioni economiche su larga scala."
2,Lana di roccia,,"Isolante minerale incombustibile (Euroclasse A1), con conducibilità intorno a 0,033-0,040 W/mK. Eccellente per protezione antincendio e isolamento acustico, è la scelta privilegiata per facciate a cappotto su edifici alti, coperture e partizioni dove serve sicurezza al fuoco. Buona traspirabilità, sfasamento estivo discreto. Costa più dell'EPS e richiede attenzione nella posa per evitare ponti termici."
3,Poliuretano espanso (PUR/PIR),,"Schiuma rigida con conducibilità tra le più basse dei materiali tradizionali (0,022-0,028 W/mK), ideale dove gli spessori sono limitati: coperture, pavimenti, cassonetti. La versione PIR migliora la reazione al fuoco fino a classe B-s1,d0. Disponibile in pannelli accoppiati con veli o lamine, è molto usato anche in sandwich per edilizia industriale. Sfasamento estivo basso, origine petrolchimica."
4,Fibra di legno,,"Il riferimento della bioedilizia: pannelli rigidi per cappotto e coperture, scaglie sfuse per intercapedini. Conducibilità 0,037-0,045 W/mK, ma densità elevata che garantisce ottimo sfasamento termico estivo, ideale per tetti e pareti in legno. Traspirante, igroscopico, con ottima impronta ambientale grazie al carbonio stoccato. Costa più dei sintetici e richiede posa accurata contro l'umidità."
5,XPS (polistirene estruso),,"Pannelli a cellule chiuse con conducibilità 0,033-0,037 W/mK e altissima resistenza all'assorbimento d'acqua. È il materiale standard per isolamento di fondazioni, platee, coperture rovescie e ogni applicazione a contatto con il terreno o l'umidità. Buona resistenza a compressione, durata elevata. Limiti analoghi all'EPS sul fronte del fuoco e dell'impatto ambientale petrolchimico."
6,Lana di vetro,,"Isolante minerale leggero, incombustibile (Euroclasse A1), con conducibilità 0,032-0,040 W/mK e ottime prestazioni acustiche. Molto usato in falde, controsoffitti, pareti in cartongesso e carpenterie leggere per il costo contenuto e la facilità di posa in rotoli. Lo sfasamento estivo è modesto per la bassa densità: nei climi caldi va abbinato a masse o schermi riflettenti."
7,Sughero,,"Materiale naturale, rinnovabile e riciclabile, con conducibilità 0,037-0,045 W/mK. Si usa in pannelli per cappotti, coperture e isolamento acustico di calpestio. Eccellente comportamento all'umidità, inattaccabile da muffe e roditori, ottima durata. Lo sfasamento estivo è buono e il bilancio ambientale tra i migliori in assoluto. Il costo elevato lo riserva a progetti di bioedilizia di pregio."
8,Calcio silicato,,"Pannelli minerali altamente traspiranti e capillari, con conducibilità intorno a 0,055-0,070 W/mK: meno performanti termicamente, ma insostituibili per l'isolamento interno di edifici storici e murature umide. Regolano l'umidità, prevengono muffe e condense, sono incombustibili (A1). Scelta tecnica d'elezione nei centri storici dove il cappotto esterno non è praticabile."
9,Vetro cellulare,,"Isolante rigido ottenuto da vetro riciclato, totalmente incombustibile (A1), impermeabile, incomprimibile e imputrescibile, con conducibilità 0,038-0,045 W/mK. È la soluzione di nicchia per fondazioni, tetti piani, coperture carrabili e opere dove serve durata assoluta senza manutenzione. Il costo elevato e la rigidità di posa lo limitano a impieghi specializzati ad alta affidabilità."
10,Aerogel e pannelli sottovuoto (VIP),,"Le tecnologie più avanzate: aerogel in feltro o pannelli con conducibilità fino a 0,015-0,021 W/mK, pannelli sottovuoto (VIP) fino a 0,004-0,008 W/mK. Permettono isolamenti ad alte prestazioni in pochi millimetri, decisivi in ristrutturazioni con vincoli di spessore, serramenti da non sostituire e nodi critici. Costi molto alti e posa delicata: li riservano a interventi mirati."
