Posizione,Nome,Sito ufficiale,Descrizione
1,Autodesk Revit,https://www.autodesk.it,"Lo standard di fatto a livello internazionale per la progettazione BIM multidisciplinare. Revit copre architettura, strutture e impianti in un unico ambiente, con un ecosistema di librerie, plugin e integrazioni senza pari. È richiesto nella maggior parte delle gare internazionali e nei grandi studi. Punti deboli: costo in abbonamento, richiesta di hardware performante e curva di apprendimento impegnativa per i neofiti."
2,Graphisoft Archicad,https://www.graphisoft.com,"Storico rivale di Revit, molto amato dagli architetti per l'interfaccia intuitiva e la fluidità di modellazione. Archicad eccelle nel progetto architettonico, nella documentazione grafica e nella collaborazione tramite BIMcloud, con un'adozione recente delle funzioni per strutture e MEP. Forte la presenza in Europa e in Italia, con una community attiva e un buon equilibrio tra potenza e usabilità."
3,ACCA Edificius,https://www.accasoftware.com,"Il software BIM italiano più diffuso, nato per rispondere alle esigenze specifiche del mercato nazionale. Edificius integra modellazione architettonica, rendering in tempo reale, pratiche edilizie e collegamento diretto con il computo PriMus e il progetto strutturale EdiLus. Licenza perpetua, prezzo accessibile e assistenza in italiano lo rendono la scelta più frequente per piccoli e medi studi e per i professionisti."
4,Allplan,https://www.allplan.com,"Piattaforma tedesca del gruppo Nemetschek con forte tradizione ingegneristica. Allplan unisce progettazione architettonica e strutturale con particolare attenzione all'armatura del calcestruzzo e alla prefabbricazione, ambiti in cui è tra i più avanzati. Molto usato in Europa centrale e apprezzato anche in Italia da studi strutturali e imprese che lavorano con elementi prefabbricati e opere in c.a."
5,Vectorworks Architect,https://www.vectorworks.net,"Software versatile che unisce CAD 2D, modellazione 3D libera e BIM, con un motore grafico apprezzato per la qualità della rappresentazione. Vectorworks è diffuso tra architetti e paesaggisti e offre moduli dedicati a interior design e spettacolo. Buona interoperabilità IFC, prezzo competitivo e una filosofia flessibile che piace agli studi con forte componente creativa."
6,Tekla Structures (Trimble),https://www.tekla.com,"Il riferimento mondiale per il BIM strutturale di dettaglio: acciaio, carpenteria, prefabbricati in calcestruzzo e opere speciali. Tekla gestisce modelli estremamente dettagliati fino alla produzione (LOD 400-500), con esportazioni dirette verso macchine a controllo numerico. È lo strumento standard per carpentieri, prefabbricatori e studi strutturali che lavorano su opere complesse e infrastrutture."
7,BricsCAD BIM (Bricsys),https://www.bricsys.com,"Alternativa europea basata sul formato DWG, con un approccio BIM flessibile che permette di partire dal disegno 2D tradizionale. BricsCAD BIM offre licenze perpetue a prezzo competitivo, buone prestazioni e compatibilità con i flussi AutoCAD esistenti. È una scelta pragmatica per studi che vogliono entrare nel BIM senza rivoluzionare i propri processi e senza vincoli di abbonamento."
8,EdiLus (ACCA),https://www.accasoftware.com,"Software italiano dedicato al calcolo strutturale integrato nel BIM: cemento armato, muratura, acciaio e legno, con verifiche secondo le NTC e gli Eurocodici. EdiLus permette di modellare la struttura e ottenere direttamente relazioni di calcolo, tavole esecutive e input per il computo. Molto diffuso tra gli ingegneri strutturisti italiani per la conformità normativa nazionale e l'integrazione con l'ecosistema ACCA."
9,Autodesk Navisworks,https://www.autodesk.it,"Strumento di coordinamento e clash detection: aggrega modelli provenienti da discipline diverse, verifica le interferenze e gestisce la simulazione 4D dei tempi di cantiere. Navisworks è molto usato da general contractor, direzioni lavori e BIM coordinator nei grandi progetti. Non modella, ma è quasi indispensabile nella fase di verifica e gestione della commessa multidisciplinare."
10,Solibri,https://www.solibri.com,"Software specializzato nel model checking e nella verifica della qualità dei modelli IFC: controlla regole geometriche, requisiti normativi, quantità e coerenza dei dati. Solibri è lo strumento di riferimento per BIM manager e committenti che devono validare i modelli ricevuti dai progettisti. Nella filiera delle gare pubbliche BIM svolge un ruolo crescente nella verifica dei capitolati informativi."
