Posizione,Nome,Sito ufficiale,Descrizione
1,Heidelberg Materials Italia (ex Italcementi),https://www.italcementi.it,"Primo produttore nazionale, erede della storica Italcementi fondata a Bergamo nel 1864 e oggi parte del gruppo tedesco Heidelberg Materials. Gestisce una rete capillare di cementerie, centri di macinazione e impianti di calcestruzzo su tutto il territorio, con il marchio i.pro per i cementi. Leader negli investimenti per la decarbonizzazione, con progetti di cattura della CO2 e cementi a ridotta impronta carbonica."
2,Buzzi,https://www.buzzi.com,"Gruppo di Casale Monferrato tra i protagonisti mondiali del cemento, con cementerie in Italia e una forte presenza internazionale tra Europa e Americhe. Buzzi unisce tradizione familiare e dimensione globale, con un'offerta che spazia dai cementi tradizionali ai prodotti speciali per opere idrauliche e strutturali. In Italia opera anche nel calcestruzzo preconfezionato tramite la propria rete di impianti, con particolare forza nel Nord."
3,Colacem,https://www.colacem.it,"Gruppo umbro della famiglia Colaiacovo, tra i maggiori produttori italiani con cementerie nel Centro-Sud e presenza estera in Nord America e Europa orientale. Colacem controlla una filiera integrata che comprende cemento, calcestruzzo, aggregati e trasporti, servendo grandi opere infrastrutturali ed edilizia diffusa. La dimensione familiare e la continuità gestionale ne fanno un interlocutore stabile per imprese e committenti pubblici."
4,Cementir,https://www.cementirholding.com,"Gruppo del gruppo Caltagirone, unico produttore italiano quotato con un profilo fortemente internazionale: presente in decine di Paesi, è leader mondiale nel cemento bianco. In Italia Cementir opera con cementerie e impianti nel Centro-Nord e porta nel mercato domestico competenze tecniche su cementi speciali e prodotti ad alta prestazione. La diversificazione geografica sostiene gli investimenti in innovazione di prodotto."
5,Sacci,,"Storico marchio del cemento italiano, con cementerie nel Centro-Nord e una rete commerciale diffusa. Sacci ha attraversato negli anni una profonda riorganizzazione, rilanciandosi con focus su cementi speciali, leganti per opere strutturali e prodotti per la bioedilizia. Il marchio mantiene una forte riconoscibilità presso imprese e rivendite edili, soprattutto nel segmento delle opere murarie e delle ristrutturazioni."
6,Cementi Rossi,https://www.cementirossi.it,"Azienda piemontese di Piacenza con radici ottocentesche, oggi gruppo attivo in cemento, calcestruzzo e prefabbricazione. Cementi Rossi presidia il Nord-Ovest con impianti produttivi e una rete di centri di betonaggio, distinguendosi per la capacità di fornire soluzioni integrate dal legante al manufatto prefabbricato. Forte la presenza nelle opere pubbliche locali e nell'edilizia industriale della pianura Padana."
7,Barbetti,https://www.barbetti.it,"Cementeria umbra di Gubbio fondata nel 1933, oggi guidata dalla nuova generazione della famiglia con un posizionamento da indipendente innovatore. Barbetti ha investito precocemente in sostenibilità, con cementi a ridotto contenuto di clinker, combustibili alternativi e progetti di economia circolare. Serve il Centro Italia con cemento e calcestruzzo, distinguendosi per flessibilità e attenzione ai mercati locali."
8,Vianini Industria,,"Società del gruppo Caltagirone con sede a Roma, attiva nella produzione di calcestruzzi preconfezionati, aggregati e pavimentazioni stradali. Vianini Industria gestisce impianti di betonaggio nel Lazio e ha una lunga storia di forniture per grandi opere pubbliche, da infrastrutture viarie a edilizia monumentale. Il collegamento con la controllata Vianini Lavori le consente un'offerta integrata materiali-costruzioni."
9,Calcestruzzi,https://www.calcestruzzi.it,"Società del gruppo Heidelberg Materials Italia specializzata nel calcestruzzo preconfezionato, con una delle reti di impianti di betonaggio più estese del Paese. Calcestruzzi è il braccio operativo del gruppo nelle forniture di cantiere, dalle grandi opere ai cantieri residenziali, con laboratori tecnici per miscele speciali: calcestruzzi ad alta resistenza, alleggeriti, drenanti e per applicazioni speciali."
10,Unical,https://www.unicalcestruzzi.it,"Azienda lombarda con sede a Pessano con Bornago, attiva da decenni nella produzione di calcestruzzo preconfezionato e prefabbricati per l'edilizia. Unical serve il Nord Italia con impianti di betonaggio e un'offerta che comprende calcestruzzi strutturali, speciali e manufatti per opere civili e industriali. Il posizionamento da specialista regionale le consente flessibilità e vicinanza ai cantieri del bacino lombardo."
